program	ID	Name	Proponent	Project Type	Distinctions	Status	region	country_area	trop_subtrop	yearMR	mammals	birds	reptiles	amphibians	fish	plants	invertebrates	fungi	protists	prokaryotes	camtrap	accous	traps	DNA	formal_obs	incidental_obs	camtrap_n	accous_n	traps_n	DNA_n	formal_obs_n	incidental_obs_n	animal_mon	sample_based_n_provided	raw_data_avail	mon_results_in_unavail.report	taxa_notes	methods_notes	data_notes	lat_approx	lon_approx	kml	area_ha	ann_emiss_red	notes
CCB	673	Natural High Forest Rehabilitation Project on degraded land of Kibale National Park	Greenchoice	"Afforestation, Reforestation and Revegetation"	Biodiversity Gold	Verification approved	Africa	Uganda	1	2020	1	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	0	"yes, sample based"	N	N	N	only mammals and 1 reptile noted as resulting from the animal censuses; MR mentions that they plan to start monitoring butterflies	"animal censuses are conducted every 5 years; ""transects"" (MR: p 38)"		0.442565	30.36396	1	8593	74181	
CCB	737	"TIST Program in Kenya, VCS 005"	Clean Air Action Corporation	"Afforestation, Reforestation and Revegetation"	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	Africa	Kenya	1	2020	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	Y	N	no animals monitored; only vegetation	number of veg plots based on downloaded excel file (see data_notes)	full vegetation data available here: http://www.tist.org/PD-KE-VCS-005%20Documents.php	0.062	37.1001	1	9120	86694	
CCB	738	"Carbon Project in the Emas-Taquari Biodiversity Corridor, Goiás and Mato Grosso do Sul, Brazil"	Multiple Proponents	"Afforestation, Reforestation and Revegetation"	Biodiversity Gold	Verification approved	South America	Brazil	1	2021	1	1	0	0	0	1	0	0	0	0	1	0	1	0	1	1	26	0	NA	0	NA	NA	"yes, sample based"	Y	N	Y	"222 species of birds noted, but a lesser number were named"	"""MacKinnon quantitative method"" was used to quantify birds; jaguars were trapped and GPS tracked; apparently 26 camera trapping stations"	""" annex O and O.1 of the first MIR (Annex B)"" is reported to contain more wildlife data, but not available"	-17.914439	-53.110953	1	520	6870	
CCB	959	‘Guanaré’ Forest Plantations on degraded grasslands under extensive grazing	Guanaré SA	"Afforestation, Reforestation and Revegetation"		Verification approved	South America	Uruguay	1	2020	1	1	1	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	NA	0	NA	NA	"yes, sample based"	N	N	N	"native plant and amphibian monitoring also mentioned, but no species names provided"	"traps for mammals, ""walking tours"" and auditory surveys for birds and other fauna"		-32.759439	-54.062478	1	21298	127416	
CCB	977	RMDLT Portel - Para REDD Project	RMDLT Property Group Ltd.	Reduced Emissions from Deforestation and Degradation	Climate Gold; Biodiversity Gold	Verification approval requested 	South America	Brazil	1	2021	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	"yes, incidental"	NA	N	N		"wildlife monitoring via ""information of sightings and recording evidence of species habitation""; vegetation monitored via same plots as carbon measurements (no sample size given)"		-2.685628	-50.885319	1	151105	553273	
CCB	994	"TIST Program in India, VCS 001"	Clean Air Action Corporation	"Afforestation, Reforestation and Revegetation"	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	Asia	India	1	2021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	none	NA	Y	N	"formal monitoring of tree species; birds and bees mentioned, but not monitored"		raw vegetation monitoring data available: http://www.tist.org/PD-IN-VCS-001%20Documents.php	12.169044	79.278442	1	672	11047	
CCB	1115	JARI/AMAPÁ REDD+ PROJECT	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Biodiversity Gold	Verification approved	South America	Brazil	1	2020	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	1	6	0	0	0	6	NA	"yes, sample based"	Y	N	Y	"formal bird, mammal (large/med) & plant monitoring; scarab beetles were planned, but dropped"	6 bird transects surveyed; 6 camera traps plus visual observations & sign; 158 veg plots of 100 x 100m	 the plan mentions an Appendix of indicator species that was not available	-0.81135	-52.383083	1	65982	115009	
CCB	1325	Mjumita Community Forest Project (Lindi)	Multiple Proponents	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold; Biodiversity Gold	Verification approved	Africa	Tanzania	1	2014	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	0	NA	0	0	NA	NA	"yes, sample based"	N	N	Y	formal monitoring for a threatened primate (Galagoides rondoensis ) and targeted monitoring of a few listed plants	nocturnal transect surveys for the primate with audio recorder; targeted searches and marking of threatened plants	data stored at 3 locations by the organization MJUMITA	-9.908892	39.442469	1	42194	46263	
CCB	1326	Laguna Seca Forest Carbon Project	The Nature Conservancy	Reduced Emissions from Deforestation and Degradation	Biodiversity Gold	Verification approval requested 	Central America	Belize	1	2020	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	78	0	0	0	NA	NA	"yes, sample based"	Y	N	Y	"formal camera trap and incidental observation monitoring for ""large/medium"" mammals and birds"	"systematic camera trappings (extensive survey with over 50 locations w 2 cameras each) plus opportunistic surveys; ""bird surveys"" mentioned but no methods provided"	some raw data available in the report; statement that data is kept on DVD in Belize & US (not public)	17.573242	-88.924692	1	8169	255935	
CCB	1340	Bale Mountains Eco-region REDD+ project	Oromia Forest and Wildlife Enterprise	Reduced Emissions from Deforestation and Degradation	Climate Gold; Community Gold; Biodiversity Gold; Gold	Verification approved	Africa	Ethiopia	1	2019	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	NA	"yes, incidental"	NA	N	N	no formal animal monitoring except community member interviews about wildlife prevalence; MR provides info on regional mammals and birds but no specific sightings from the project area	"no formal biodiversity monitoring: ""...it is very difficult to quantify biodiversity as this was not measured as part of project monitoring."" There is some ""Community Based Monitoring (CBM)"" or local perception of amount of ""wild animal"" sightings and killings in nearby forests (assuming mammals based on T&E species of interest), but no taxa explicity reported; otherwise, just remote sensing"		6.630246	39.412326	0	398532	1288821	
