fcid	name	type	area_ha	imputed	area_source
CCB_4968	Nkuba REDD+ Project	Reduced Emissions from Deforestation and Degradation	105573	0	website
CCB_4886	Tatuy REDD+ Project	Reduced Emissions from Deforestation and Degradation	22724	0	website
CCB_4881	"TIST Program in Tanzania, VCS-CCB-011"	"Afforestation, Reforestation and Revegetation"	2882	0	website
CCB_4872	AFFORESTATION AND BIODIVERSITY CONSERVATION PROJECT IN WEST BENGAL	"Afforestation, Reforestation and Revegetation"	5000	0	website
CCB_4865	OGA REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	8348	0	website
CCB_4867	AHU REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	32326	0	website
CCB_4857	AWA REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	66443	0	website
CCB_4854	Reducción de la deforestación y degradación en el parque nacional Bahuaja sonene en la región Puno - Perú	Reduced Emissions from Deforestation and Degradation	773346	0	website
CCB_4852	Expanding Green Cover though afforestation in the Himalayan Region of Uttarakhand through communities-leading towards ownership and sustainability	"Afforestation, Reforestation and Revegetation"	4000	0	website
CCB_4850	AMAZONAS APD GROUPED PROJECT	Reduced Emissions from Deforestation and Degradation	26060	0	website
CCB_4841	Ana Primavesi – Sustainable Farming and Restoration Program	"Afforestation, Reforestation and Revegetation"	2000	0	website
CCB_4802	Rio Muru REDD+ Project	Reduced Emissions from Deforestation and Degradation	30320	0	website
CCB_4796	CACHOEIRA PORTEIRA CONSERVATION PROJECT	Improved Forest Management	178451	0	website
CCB_4780	Sichuan Ganluo IFM (conversion of logged to protected forest) Project	Improved Forest Management	45924	0	website
CCB_4756	Bahenap Village Forest Project	Reduced Emissions from Deforestation and Degradation	10700	0	website
CCB_4732	"NatureRe assisted natural regeneration project in degraded lands in Antioquia, Colombia"	"Afforestation, Reforestation and Revegetation"	4500	0	website
CCB_4690	Ningxia Pengyang 2021-2023 Afforestation Project	"Afforestation, Reforestation and Revegetation"	10150	0	website
CCB_4687	Tueré REDD+ Project	Reduced Emissions from Deforestation and Degradation	135342	0	website
CCB_4689	Ateles REDD+	Reduced Emissions from Deforestation and Degradation	106920	0	website
CCB_4681	YBYRÁ REDD+ Project	Reduced Emissions from Deforestation and Degradation	76481	0	website
CCB_4653	Integrated Management Program of Peat Forest Ecosystem in Kahayan Hilir District	"Afforestation, Reforestation and Revegetation"	16245	0	website
CCB_4646	"TIST Program in Kenya, VCS-011"	"Afforestation, Reforestation and Revegetation"	26603	0	website
CCB_4602	"REDD Carbon and Biodiversity Project, Greater El Rey Area, Jujuy, Argentina"	Reduced Emissions from Deforestation and Degradation	24154	0	website
CCB_4587	Boreal Wildlands Forest Carbon Offset Project	Improved Forest Management	145173	0	website
CCB_4525	The Republic of the Congo Improved Forest Management Project	Improved Forest Management	338589	0	website
CCB_4497	Amazon Partners 20	Reduced Emissions from Deforestation and Degradation	76550	0	website
CCB_4485	Mejuruá Project	Reduced Emissions from Deforestation and Degradation	130640	0	website
CCB_4455	XINJIANG MAKIT COUNTY WINDBREAK AND SAND FIXATION ECOLOGICAL FOREST CONSTRUCTION BASE PROJECT	"Afforestation, Reforestation and Revegetation"	103178	0	website
CCB_4429	Management of Community Forests for the Reduction of Deforestation in the Peruvian Amazon	Reduced Emissions from Deforestation and Degradation	184774	0	website
CCB_4411	Xinzhou Echeng Afforestation Project	"Afforestation, Reforestation and Revegetation"	39589	0	website
CCB_4394	Jatobá REDD+ Project	Reduced Emissions from Deforestation and Degradation	18017	0	website
CCB_4387	REDD+ Project Pacha Prometida	Reduced Emissions from Deforestation and Degradation	11500	0	website
CCB_4391	Amazon Partners 1	Reduced Emissions from Deforestation and Degradation	58488	0	website
CCB_4381	WEST SERAM REDD+ and AGARWOOD ForestWise PROJECT	Reduced Emissions from Deforestation and Degradation	143367	0	website
CCB_4272	Sichuan Yuexi IFM Project	"Afforestation, Reforestation and Revegetation"	18959	0	website
CCB_4265	REDD+ Café Apuí Agroflorestal	Reduced Emissions from Deforestation and Degradation	36708	0	website
CCB_4178	"Myanmar Bago 2,450 acres afforestation project"	"Afforestation, Reforestation and Revegetation"	992	0	website
CCB_4163	Otog Front Banner sustainable grassland management project	"Afforestation, Reforestation and Revegetation"	100297	0	website
CCB_4165	Seringueira REDD+ Project	"Afforestation, Reforestation and Revegetation"	2774	0	website
CCB_4143	Urupianga Grouped REDD Project	Reduced Emissions from Deforestation and Degradation	13351	0	website
CCB_4110	Henan Luoning IFM (conversion of logged to protected forest) Project	Improved Forest Management	9451	0	website
CCB_4117	REDD Carbonflor	Reduced Emissions from Deforestation and Degradation	9590	0	website
CCB_4107	Gansu Longnan Afforestation Project	"Afforestation, Reforestation and Revegetation"	12806	0	website
CCB_4042	Cauaxi REDD+ Grouped Project	Reduced Emissions from Deforestation and Degradation	57204	0	website
CCB_4034	Agropalma REDD+ Project	Reduced Emissions from Deforestation and Degradation	50519	0	website
CCB_4016	Amazon Biome Conservancy Grouped REDD+ Project	Reduced Emissions from Deforestation and Degradation	5140	0	website
CCB_3960	Belize Maya Forest REDD+ Project	Reduced Emissions from Deforestation and Degradation	87059	0	website
CCB_3923	Grouped Sustainable Agroforestry Project	"Afforestation, Reforestation and Revegetation"	31984	0	website
CCB_3897	"Mangrove restoration project in Wenchang and Changjiang, Hainan"	"Afforestation, Reforestation and Revegetation"	343	0	website
CCB_3843	Sichuan Yuexi Afforestation Project	"Afforestation, Reforestation and Revegetation"	4618	0	website
CCB_3816	Samaúma REDD+ Project	Reduced Emissions from Deforestation and Degradation	71822	0	website
CCB_3811	Chirisa REDD+ Project	Reduced Emissions from Deforestation and Degradation	144796	0	website
CCB_3773	Mindanao Forests for People and Sustainable Livelihoods (MinFor)	Reduced Emissions from Deforestation and Degradation	229810	0	website
CCB_3738	Triunfo do Xingu Grouped REDD+ Project	Reduced Emissions from Deforestation and Degradation	10636	0	website
CCB_3739	Selva de Urundel REDD+ Project	Reduced Emissions from Deforestation and Degradation	47956	0	website
CCB_3727	Corridors for Life ARR Grouped Project	"Afforestation, Reforestation and Revegetation"	75000	0	website
CCB_3726	Amazon Guardians REDD+ Project	Reduced Emissions from Deforestation and Degradation	72369	0	website
CCB_3671	Chaco Vivo	Reduced Emissions from Deforestation and Degradation	187916	0	website
CCB_3664	Huinan County Afforestation Project	"Afforestation, Reforestation and Revegetation"	13784	0	website
CCB_3660	Papariko - Restoration of Degraded Mangrove Areas in Kenya	"Afforestation, Reforestation and Revegetation"	1500	0	website
CCB_3630	Selva Paranaense Vida Nativa - GS1	Improved Forest Management	228785	0	website
CCB_3601	CAAPII REDD+ PROJECT	Reduced Emissions from Deforestation and Degradation	33767	0	website
CCB_3602	Udzungwa Corridor Reforestation	"Afforestation, Reforestation and Revegetation"	7500	0	website
CCB_3542	Gansu Xiaolongshan Afforestation Project	"Afforestation, Reforestation and Revegetation"	3738	0	website
CCB_3549	Community Based Forest Plantation in India	"Afforestation, Reforestation and Revegetation"	10000	0	website
CCB_3552	Community Forestry Initiatives in India	"Afforestation, Reforestation and Revegetation"	10000	0	website
CCB_3456	Fujian Datian Improved Forest Management Project	Improved Forest Management	10300	0	website
CCB_3457	Fujian Guangze IFM (conversion of logged to protected forest) Project	Improved Forest Management	9677	0	website
CCB_3452	Sichuan Huili Improved Forest Management Project	Improved Forest Management	14740	0	website
CCB_3435	Anhui Nanqiao Afforestation Project	"Afforestation, Reforestation and Revegetation"	1780	0	website
CCB_3450	"Sustainable Agroforestry Cacao Meta, Colombia"	"Afforestation, Reforestation and Revegetation"	2258	0	website
CCB_3395	"Carbon Sink Afforestation Project in Tongyu County, Jilin Province"	"Afforestation, Reforestation and Revegetation"	3266	0	website
CCB_3396	PlanTogo	"Afforestation, Reforestation and Revegetation"	31435	0	website
CCB_3370	Ludian County afforestation project in Yunnan Province	"Afforestation, Reforestation and Revegetation"	7355	0	website
CCB_3341	Samkos REDD+ Project	Reduced Emissions from Deforestation and Degradation	282718	0	website
CCB_3343	XiCO2e: Mexican Peninsula Forest Project	Improved Forest Management	130420	0	website
CCB_3344	The Last Habitat REDD+ project	Reduced Emissions from Deforestation and Degradation	22226	0	website
CCB_3334	MARAJÓ REDD+ Project	Reduced Emissions from Deforestation and Degradation	138285	0	website
CCB_3336	Eastern Yan’an Afforestation Project	"Afforestation, Reforestation and Revegetation"	58424	0	website
CCB_3337	Central Yan’an Afforestation Project	"Afforestation, Reforestation and Revegetation"	67473	0	website
CCB_3338	Yan’an Wuqi Afforestation Project	"Afforestation, Reforestation and Revegetation"	45661	0	website
CCB_3339	Yan’an Aerial Seeding Afforestation Project	"Afforestation, Reforestation and Revegetation"	31049	0	website
CCB_3324	Ipoá REDD+ Project	Reduced Emissions from Deforestation and Degradation	17330	0	website
CCB_3318	Heilongjiang Nehe Afforestation Project	"Afforestation, Reforestation and Revegetation"	3451	0	website
CCB_3299	Grouped Project Serra do Sudeste	"Afforestation, Reforestation and Revegetation"	2953	0	website
CCB_3294	Muskitia Pâsa Klîn Nâka sa	Reduced Emissions from Deforestation and Degradation	271528	0	website
CCB_3280	Carpathia Forest Carbon Project	Improved Forest Management	13958	0	website
CCB_3241	Guangdong Huidong Afforestation Project	"Afforestation, Reforestation and Revegetation"	7951	0	website
CCB_3226	Padang Tikar Landscape	Reduced Emissions from Deforestation and Degradation	58673	0	website
CCB_3210	Bajo Atrato REDD+ Project	Reduced Emissions from Deforestation and Degradation	313082	0	website
CCB_3215	ASATIQ Vaupés Maloca REDD+ Project	Reduced Emissions from Deforestation and Degradation	391310	0	website
CCB_3216	ASATRIZY Vaupés Maloca REDD+ Project	Reduced Emissions from Deforestation and Degradation	128556	0	website
CCB_3218	Origen Atrato-Baudó REDD+ Project	Reduced Emissions from Deforestation and Degradation	113492	0	website
CCB_3203	Yunnan Yulong Afforestation Project	"Afforestation, Reforestation and Revegetation"	37400	0	website
CCB_3196	Paracel ARR Carbon Forestry Project	"Afforestation, Reforestation and Revegetation"	24485	0	website
CCB_3179	Conservation and restoration of the tropical dry forest of the north coast of Peru	Reduced Emissions from Deforestation and Degradation	202813	0	website
CCB_3166	ReforesTerra Grouped Project	"Afforestation, Reforestation and Revegetation"	2000	0	website
CCB_3155	NIGER DELTA MANGROVE PROJECT	"Afforestation, Reforestation and Revegetation"	1920	0	website
CCB_3145	Proyecto REDD++ PANI	Reduced Emissions from Deforestation and Degradation	1492307	0	website
CCB_3140	ZhaoQu Afforestation Project	"Afforestation, Reforestation and Revegetation"	36607	0	website
CCB_3141	Western Amazon REDD+ Grouped Project	Reduced Emissions from Deforestation and Degradation	50348	0	website
CCB_3055	Itaúba REDD+ Project	Reduced Emissions from Deforestation and Degradation	15352	0	website
CCB_3002	Hiwi REDD+ Project	Reduced Emissions from Deforestation and Degradation	20505	0	website
CCB_2921	Jilin Baishishan Afforestation Project	"Afforestation, Reforestation and Revegetation"	18409	0	website
CCB_2893	Liaoyuan Afforestation Project	"Afforestation, Reforestation and Revegetation"	87387	0	website
CCB_2884	Gansu Zhangye Grouped Afforestation Project	"Afforestation, Reforestation and Revegetation"	64012	0	website
CCB_2878	Rio Madeira Grouped REDD+ Project	Reduced Emissions from Deforestation and Degradation	52274	0	website
CCB_2791	CONSERVATION OF NATIVE FOREST IN THE BIODIVERSITY HOTSPOT OF PAPUA NEW GUINEA	Reduced Emissions from Deforestation and Degradation	226843	0	website
CCB_2743	Guizhou Xingren Afforestation Project	"Afforestation, Reforestation and Revegetation"	6366	0	website
CCB_2745	Wuwei City Afforestation Project in Gansu Province	"Afforestation, Reforestation and Revegetation"	28818	0	website
CCB_2733	Yunnan shizong Afforestation Project	"Afforestation, Reforestation and Revegetation"	6429	0	website
CCB_2723	CONDOTO REDD+	Reduced Emissions from Deforestation and Degradation	65853	0	website
CCB_2652	HENAN YIYANG AFFORESTATION PROJECT	"Afforestation, Reforestation and Revegetation"	13634	0	website
CCB_2651	HENAN SONGXIAN AFFORESTATION PROJECT	"Afforestation, Reforestation and Revegetation"	23999	0	website
CCB_2647	Reforestation grouped project Norteak Nicaragua	"Afforestation, Reforestation and Revegetation"	700	0	website
CCB_2623	Komaza Smallholder Farmer Forestry Kenya	"Afforestation, Reforestation and Revegetation"	45316	0	website
CCB_2620	Ribeirinho REDD+ Project	Reduced Emissions from Deforestation and Degradation	199962	0	website
CCB_2611	CORAZÓN VERDE DEL CHACO PROJECT	Reduced Emissions from Deforestation and Degradation	31858	0	website
CCB_2609	KUAMUT RAINFOREST CONSERVATION PROJECT	Reduced Emissions from Deforestation and Degradation	83381	0	website
CCB_2566	The Serra do Amolar REDD+ Project	Reduced Emissions from Deforestation and Degradation	135060	0	website
CCB_2565	Yunnan Qiubei Afforestation Project	"Afforestation, Reforestation and Revegetation"	10033	0	website
CCB_2558	ABC Norte REDD Project	Reduced Emissions from Deforestation and Degradation	140691	0	website
CCB_2556	Southern Paraguay Sustainable Afforestation Project	"Afforestation, Reforestation and Revegetation"	1997	0	website
CCB_2551	BRAZILIAN AMAZON APD GROUPED PROJECT	Reduced Emissions from Deforestation and Degradation	17660	0	website
CCB_2538	Pendjari and W-Benin National Parks REDD+ Project	Reduced Emissions from Deforestation and Degradation	1214239	0	website
CCB_2512	"AFFORESTATION OF DEGRADED GRASSLANDS IN VICHADA, COLOMBIA"	"Afforestation, Reforestation and Revegetation"	134732	0	website
