paperid	authors	year	title	journal	vol	num	pages	article_num	doi	region	country_area	trop_sub	hab_gen	substrate	substrate2	mammals	birds	reptiles	amphibians	fish	invertebrates	plants	fungi	protists	prokaryotes	impact	method	markers	numregions	numsamp	numsamp_notes	summary	lat_approx	lon_approx	geo_notes	data_share	raw_data_archive	procdata_archive
eDNA01	M. A. Al; Y. Y. Xue; P. Xiao; H. H. Chen; C. S. Zhang; M. Duan; J. Yang	2021	DNA metabarcoding reveals the significant influence of anthropogenic effects on microeukaryotic communities in urban waterbodies	Environmental Pollution	285		11	117336	10.1016/j.envpol.2021.117336	Asia	China	1	freshwater	water		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S	1	67		impact of anthropogenic land use disturbance on microeukaryotic communities in urban waterbodies	30.536015	114.236682		1	NODE	N
eDNA02	E. Al-Enezi; F. Francescangeli; E. Balassi; S. Borderie; S. Al-Hazeem; F. Al-Salameen; A. B. Anwar; J. Pawlowski; F. Frontalini	2022	"Benthic foraminifera as proxies for the environmental quality assessment of the Kuwait Bay (Kuwait, Arabian Gulf): Morphological and metabarcoding approaches"	Science of the Total Environment	833		15	155093	10.1016/j.scitotenv.2022.155093	Asia	Kuwait	1	marine	sediment		0	0	0	0	0	0	0	0	1	0	pollution	DNA metabarcoding	18S	1	46		impact of land use and water quality on benthic foraminifera	29.44618	47.900436		0	N	N
eDNA03	D. Alem; T. Dejene; J. A. Oria-de-Rueda; J. Geml; C. Castano; J. E. Smith; P. Martin-Pinto	2020	"Soil fungal communities and succession following wildfire in Ethiopian dry Afromontane forests, a highly diverse underexplored ecosystem"	Forest Ecology and Management	474		12	118328	10.1016/j.foreco.2020.118328	Africa	Ethiopia	1	forest	sediment		0	0	0	0	0	0	0	1	0	0	habitat structure	DNA metabarcoding	ITS2	1	9		impact of forest fire on soil fungal communities	7.108333	38.666667		0	N	N
eDNA04	J. B. Alexander; M. J. Marnane; T. S. Elsdon; M. Bunce; S. Songploy; P. Sitaworawet; E. S. Harvey	2022	Complementary molecular and visual sampling of fish on oil and gas platforms provides superior biodiversity characterisation	Marine Environmental Research	179		11	105692	10.1016/j.marenvres.2022.105692	Asia	Thailand	1	marine	water		0	0	0	0	1	0	0	0	0	0	pollution	DNA metabarcoding	16S (fish); COI (elasmobranch)	2	144		"impact of offshore oil platforms on ""80 fish and elasmobranch taxa"""	9.25	101.5		0	N	N
eDNA06	C. Andujar; P. Arribas; C. Gray; C. Bruce; G. Woodward; D. W. Yu; A. P. Vogler	2018	Metabarcoding of freshwater invertebrates to detect the effects of a pesticide spill	Molecular Ecology	27	1	146-166		10.1111/mec.14410	Europe	UK	0	freshwater	whole organism		0	0	0	0	0	1	0	0	0	0	pollution	DNA metabarcoding	COI; 18S	2	24		impact of pesticides on aquatic invertebrates sampled via kicknet samples	51.409683	-1.123601		1	Dryad	N
eDNA07	P. J. Ankley; Y. W. Xie; T. A. Black; A. DeBofsky; M. Perry; M. J. Paterson; M. Hanson; S. Higgins; J. P. Giesy; V. Palace	2021	Using zooplankton metabarcoding to assess the efficacy of different techniques to clean-up an oil-spill in a boreal lake	Aquatic Toxicology	236		11	105847	10.1016/j.aquatox.2021.105847	North America	Canada	0	freshwater	water		0	0	0	0	0	1	0	0	0	0	pollution	DNA/RNA metabar.	COI	1	63		impact of oil spill pollution on zooplankton	49.695833	-93.767611		0	N	N
eDNA08	P. J. Ankley; Y. W. Xie; S. Havens; L. Peters; L. Timlick; J. L. Rodriguez-Gil; J. P. Giesy; V. P. Palace	2022	RNA metabarcoding helps reveal zooplankton community response to environmental stressors	Environmental Pollution	292		9	118446	10.1016/j.envpol.2021.118446	North America	Canada	0	freshwater	water		0	0	0	0	0	1	0	0	0	0	pollution	DNA/RNA metabar.	COI	1	63		impact of oil spill pollution on zooplankton	49.695833	-93.767611		0	N	N
eDNA09	M. A. Anthony; K. A. Stinson; A. N. Trautwig; E. Coates-Connor; S. D. Frey	2019	Fungal communities do not recover after removing invasive Alliaria petiolata (garlic mustard)	Biological Invasions	21	10	3085-3099		10.1007/s10530-019-02031-8	North America	USA	0	forest	sediment		0	0	0	0	0	0	0	1	0	0	invasive species	DNA metabarcoding	ITS2	1	144		impact of invasive species on fungal communities - OTUs (max count from the 2 time periods; from supplementary Table 2)	42.483816	-73.339885		1	NCBI	N
eDNA11	E. G. Armstrong; J. T. P. Verhoeven	2020	Machine learning analyses of bacterial oligonucleotide frequencies to assess the benthic impact of aquaculture	Aquaculture Environment Interactions	12		131-137		10.3354/aei00353	North America	Canada	0	marine	sediment		0	0	0	0	0	0	0	0	0	1	pollution	DNA metabarcoding	16S	1	108		impact of aquaculture on benthic bacteria (OTUs and TNFs were not reported; Verhoeven et al. 2018 may report)	47.572737	-55.940837		1	NCBI	N
eDNA12	B. Arruda; P. B. L. George; A. Robin; D. D. C. Mescolotti; W. F. B. Herrera; D. L. Jones; F. D. Andreote	2021	Manipulation of the soil microbiome regulates the colonization of plants by arbuscular mycorrhizal fungi	Mycorrhiza	31	5	545-558		10.1007/s00572-021-01044-3	South America	Brazil	1	grassland	sediment		0	0	0	0	0	0	0	1	0	1	species interaction	DNA metabarcoding	16S; ITS1	2	32		impact of bacterial and fungal additions to soil on mycorhyzal connections (OTUs are max from 8 treatments in Table 2)	-22.7175	-47.616778		1	ENA	N
